Comp-FITC_Alexa 488-A :: CD56,Comp-PE-A :: CD11c,Comp-PE-Cy55-A :: CD3,Comp-PE-Cy7-A :: CD45RO,Comp-APC_Ax 647-A :: 2H2,Comp-APC-Ax700-A :: CD4,Comp-APC-H7-A :: CD8,FlowMeans.ClusterID,EventNumberDP
342.858,192.911,13578.7,9227.78,-292.802,10726.1,-642.952,20000,213
3917.39,342.925,52.3716,-131.043,497.876,837.062,3143.2,50000,214
92.2207,53.146,9749.35,417.257,126.446,18375,6.60704,40000,218
258.868,233.768,14285.9,1479.43,255.17,15558.6,537.787,30000,229
1089.1,861.616,226.924,420.24,2997.43,1135.51,339.535,50000,230
211.375,40.483,188.163,-13.5621,266.583,101.506,259.866,50000,233
146.265,52.3299,14088.6,473.259,246.424,18269.2,-827.127,30000,234
520.222,137.156,3587.52,1992.4,220.101,202.939,4500.11,50000,237
185.376,182.733,2929.33,254.514,396.156,10388.6,-281.078,50000,238
358.851,125.414,13927,484.06,191.315,21598.4,-187.876,30000,241
1093.18,524.44,203.149,97.3562,384.4,252.593,243.911,50000,242
185.845,104.438,9970.16,267.251,67.1138,8482.44,-27.0508,40000,245
216.891,115.162,8268.11,12753.7,-800.019,13803.1,43.8138,20000,246
850.046,22.1325,8831.65,3987.8,434.88,-491.219,-503.923,40000,249
192.965,-77.4996,14226.8,477.08,337.765,12410.4,303.222,30000,250
138.272,-17.2589,4385.27,3098.35,179.265,8352.5,-13.2026,40000,253
93.4631,28.856,5080.54,2312.75,274.834,12212.8,107.27,40000,254
466.474,2060.96,281.527,722.932,1044.03,1101.13,198.143,50000,257
292.881,-10.8432,66.5622,-138.922,120.667,493.852,78.6025,50000,258
264.573,125.115,6777.37,92.0981,-46.4998,11434.3,-20.0691,40000,261
187.315,118.405,78.0382,70.4408,268.643,284.833,429.09,50000,262
483.445,8033.25,845.373,6827.91,1436.27,2085.48,34.5036,50000,265
1699.36,2228.49,-80.1102,259.625,604.705,331.327,-105.847,50000,266
167.17,60.3987,11513.8,463.252,158.386,17976.3,72.8514,30000,269
314.722,48.8463,126.038,275.475,376.69,27927.3,-199.142,40000,270
138.564,113.718,7600.52,14044.8,-711.03,14742,-710.313,20000,273
192.032,212.327,10893,746.415,193.646,11207.4,-47.946,40000,274
123.388,85.0465,12599.9,666.012,216.646,19741.7,-144.788,30000,277
166.838,-10.6791,9513.92,17758,-770.473,924.122,9517.46,20000,278
322.157,30.361,4352.52,7197.82,-211.803,1996.4,-57.2836,50000,281
361.758,266.751,12486.6,13868.2,-709.04,27289.7,-101.686,20000,282
241.274,270.118,7459.99,469.829,311.947,16824.3,453.868,40000,286
86.391,126.711,8923.17,-253.854,-166.085,1148.61,16071.8,10000,289
148.573,201.867,2000.29,779.517,-155.122,-26.4144,10960.5,50000,290
871.72,9273.61,220.024,757.554,357.812,2001.07,172.096,50000,293
150.174,132.013,13793.5,3177.31,-170.127,17318.1,-295.972,30000,294
319.685,215.737,27.7519,291.47,613.078,-6.40739,515.16,50000,298
177.077,41.3363,156.902,-62.3283,317.005,572.478,97.1725,50000,305
153.439,-49.001,148.69,-66.9232,367.122,-134.631,462.732,50000,306
119.205,164.253,9112.61,86.2883,562.392,12078.8,371.289,40000,309
210.491,74.9134,5664.84,328.905,-95.521,-128.259,15646.5,10000,310
149.296,63.1006,7177.36,-93.4342,537.414,21453.8,-405.329,40000,313
2758.93,3549.51,379.216,306.86,475.906,543.817,45.5284,50000,314
185.178,88.6931,4744.48,1809.15,317.611,7078.29,-359.971,40000,317
208.656,73.2645,10096.2,9539.83,-948.415,10065.1,-1245.72,20000,318
153.003,-2.26906,2478.09,1605.8,349.911,16398.6,-215.04,40000,321
185.699,104.382,11694.2,401.806,-237.269,14878.1,108.124,30000,322
254.615,288.542,13048.6,11963.4,-1006.27,1236.8,23524.7,10000,325
528.958,107.983,14326.4,6187.81,-108.924,1271.25,-519.119,30000,326
260.61,140.244,12587.5,143.857,-280.637,-806.86,26451.7,10000,329
158.69,-13.7939,12770.7,329.103,248.958,20240,-267.258,30000,334
245.53,160.987,11793.1,8575.33,-752.256,21654.5,753.908,20000,337
307.969,143.746,226.939,-80.7711,339.86,719.614,45.1852,50000,338
226.413,165.274,5021.08,11426,-959.773,9930,-580.656,20000,341
1392.12,2040.62,266.436,194.528,123.877,22.1291,1593.07,50000,342
1385.14,-16.9142,109.66,371.823,327.989,1130.33,108.898,50000,345
213.7,144.416,7618.29,61.6072,595.828,-468.532,14596.2,10000,349
174.728,68.6388,14961.2,1156.49,-183.072,19617,-668.22,30000,350
5985.47,1534.28,127.187,178.384,384.04,110.063,71.0027,50000,353
346.47,78.1484,11513.5,57.4977,-114.823,7394.71,-704.378,40000,354
99.8769,19.4442,23018.6,-1065.34,490.319,11373.4,258.255,30000,357
103.115,-42.9508,16630.9,-627.622,267.515,12606.4,-280.559,30000,358
197.181,210.53,1275.03,243.257,271.843,1973.51,-99.7073,50000,361
172.777,149.913,11855.1,3179.57,-157.143,16186.2,-42.0828,30000,362
222.5,30.9561,4009.01,-485.989,502.596,9277.98,224.535,40000,366
421.281,392.119,22182.5,4782.01,177.567,21953.4,561.898,30000,369
88.5981,-7.25376,6181.4,2464.68,-216.342,7758.57,-98.2483,40000,370
460.749,1173.29,-5.63362,64.0423,852.606,1015.9,401.012,50000,373
169.356,199.503,19063.3,694.381,-0.090742,15283.9,62.5131,30000,374
285.154,69.6408,4979.13,3972.4,-293.126,-262.504,12882.4,10000,377
355.525,311.386,7382.44,9623.36,-537.683,13623.9,-478.536,20000,378
229.368,170.707,10491.8,43.7059,821.484,11862.9,-709.722,40000,381
93.7843,108.298,7596.25,4088.79,-142.043,12883.1,-13.7175,40000,382
127.043,-28.4284,6725.69,719.097,113.166,17584.4,366.317,40000,385
87.4255,113.581,213.678,2.21957,766.044,-304.381,826.946,50000,389
269.383,134.974,8012.89,13021.8,-1097.84,15694.4,-949.985,20000,390
