"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
123.509,184.897,4362.23,563.639,325.337,-982.37,6377.54,314
623.136,17413.8,-67.5157,335.441,1256.27,5631.81,175.851,319
238.765,196.755,13441,9495.36,-223.779,22747.4,-108.662,320
403.637,202.407,4207.85,11402.2,-345.002,18335.1,-72.9211,325
241.225,94.2827,8928.33,308.895,147.135,-511.504,11371.7,326
220.249,88.4264,10221.3,13980.9,-847.241,14772.8,-652.169,331
202.909,178.491,15455.9,12789.5,-344.259,18446.5,-638.487,332
268.268,185.409,7987.28,19063.1,-1151.64,16405.9,-551.872,337
274.76,157.67,24477.1,-517.745,327.884,18586,454.354,338
259.08,0.297553,9475.44,8620.84,-79.5002,14312,15.0098,343
153.247,121.262,3144.9,-100.186,54.2768,1550.3,5706.62,344
84.6247,4.57808,7735.4,3666.8,-233.891,16264.2,-465.417,349
297.943,122.77,914.227,71.5552,436.122,-65.2218,3043,350
120.022,121.39,4717.58,504.519,271.798,8437.63,162.889,355
351.322,672.816,159.461,71.2837,419.251,749.433,509.251,356
253.853,277.875,9660.97,13455.6,-832.147,27011.6,-797.655,361
126.433,185.269,8943.29,609.451,-157.978,-1680.91,21261.8,362
699.676,119.391,15006,3049.52,-44.4045,-2049.24,4627.47,367
221.986,111.191,8894.42,7173.04,-306.08,20124.1,-168.871,368
419.31,8182.64,192.821,248.981,438.457,1389.38,319.683,373
209.536,93.5068,19262.8,1452.88,-43.3962,16706.7,-288.509,374
419.966,257.506,5971.57,13521.4,-659.54,20611.2,-426.853,379
242.965,172.446,20103.8,670.841,-219.997,15682.7,-163.679,386
233.385,79.277,14039.7,159.66,293.597,21788.3,-756.04,392
202.586,-10.2032,310.109,-135.337,74.0711,801.505,878.846,397
183.574,136.706,276.616,210.926,434.617,28533.6,-68.8492,398
155.186,50.7812,11593.2,-303.204,-88.3911,1210.14,17665.4,403
